name,formed,dissipated,mph,damage,deaths
1943 Surprise Hurricane,06/25/1943,06/29/1943,105,17M,19
1944 Great Atlantic hurricane,08/09/1944,08/16/1944,160,100M,400
1944 Cuba–Florida hurricane,09/12/1944,09/24/1944,145,100M,318
1945 Outer Banks hurricane,05/20/1945,06/04/1945,100,75K,1
1945 Texas hurricane,07/24/1945,07/29/1945,115,20.1M,3
1945 Homestead hurricane,08/12/1945,08/20/1945,130,60M,26
1946 Florida hurricane,09/05/1946,09/14/1946,100,5.2M,5
1947 Fort Lauderdale hurricane,08/04/1947,08/20/1947,145,110M,51
1947 Cape Sable hurricane,09/09/1947,09/16/1947,105,3.26M,1
1948 Bermuda–Newfoundland hurricane,08/04/1948,08/16/1948,130,400K,8
September 1948 Florida hurricane,08/18/1948,08/26/1948,130,14M,13
1948 Miami hurricane,09/03/1948,09/16/1948,125,12.5M,11
1949 Florida hurricane,07/23/1949,07/31/1949,130,52M,2
1949 Texas hurricane,08/27/1949,09/07/1949,110,6.7M,2
Able,07/12/1950,07/24/1950,125,1.041M,11
Baker,07/18/1950,08/01/1950,105,2.55M,38
Dog,07/30/1950,08/18/1950,145,3M,26
Easy,08/01/1950,08/09/1950,120,3.3M,2
King,09/13/1950,09/20/1950,130,32M,11
Able,04/15/1951,04/24/1951,90,0,0
Charlie,07/12/1951,07/23/1951,130,75M,252
How,08/28/1951,09/08/1951,100,2M,17
1952 Groundhog Day tropical storm,01/03/1952,01/05/1952,70,0,0
Able,07/18/1952,08/02/1952,100,2.75M,3
Fox,09/20/1952,09/28/1952,145,10M,601
Barbara,07/11/1953,07/16/1953,90,1.3M,9
Carol,07/28/1953,08/08/1953,160,2M,5
Florence,08/23/1953,08/26/1953,115,200K,0
Alice,05/24/1954,05/26/1954,110,2M,153
Carol,07/25/1954,08/01/1954,115,462M,72
Edna,08/02/1954,08/15/1954,125,42.8M,20
Hazel,09/05/1954,09/18/1954,130,382M,1191
Alice,11/30/1954,00/06/1955,90,623K,0
Connie,07/03/1955,07/15/1955,140,86M,77
Diane,07/07/1955,07/23/1955,105,831.7M,184
Ione,08/10/1955,08/21/1955,140,88M,7
Hilda,08/10/1955,08/20/1955,120,120M,304
Janet,08/21/1955,08/30/1955,175,65.8M,1023
Betsy,07/09/1956,07/18/1956,120,50M,36
Flossy,08/20/1956,09/03/1956,90,24.9M,15
Greta,09/30/1956,10/06/1956,100,3.6M,1
Audrey,05/25/1957,05/29/1957,125,150M,431
Ella,07/30/1958,08/06/1958,110,200K,36
Helene,08/21/1958,09/04/1958,150,11.4M,1
Arlene,04/28/1959,04/31/1959,65,500K,1
Cindy,06/05/1959,06/11/1959,75,75K,1
Debra,06/23/1959,06/28/1959,85,7M,0
Gracie,08/20/1959,09/02/1959,140,14M,22
1960 Texas tropical storm,05/22/1960,05/29/1960,60,3.6M,18
Abby,06/10/1960,06/16/1960,80,640K,6
Brenda,06/28/1960,07/01/1960,70,5M,1
Donna,07/29/1960,08/14/1960,145,980M,439
Ethel,08/12/1960,08/17/1960,115,1.5M,1
Anna,06/20/1961,06/24/1961,105,300K,1
Carla,08/03/1961,08/17/1961,145,325.74M,43
Debbie,08/06/1961,08/19/1961,90,50M,78
Esther,08/10/1961,08/27/1961,160,6M,0
Hattie,09/27/1961,10/01/1961,165,60.3M,319
Alma,07/26/1962,07/30/1962,85,1M,1
Daisy,08/29/1962,09/08/1962,105,1.1M,8
Arlene,06/31/1963,07/11/1963,115,300K,0
Cindy,08/16/1963,08/20/1963,65,12.5M,3
Edith,08/23/1963,08/29/1963,100,46.6M,10
Ginny,09/16/1963,09/29/1963,110,500K,3
Abby,07/05/1964,07/08/1964,70,750K,0
Cleo,07/21/1964,08/05/1964,150,187M,156
Dora,07/28/1964,08/14/1964,130,280M,5
Gladys,08/13/1964,08/24/1964,130,100K,1
Hilda,08/28/1964,09/05/1964,140,126M,38
Isbell,09/08/1964,09/19/1964,115,30M,7
Betsy,07/27/1965,08/13/1965,140,1.42B,81
Debbie,08/24/1965,08/30/1965,60,25M,0
Alma,05/04/1966,05/14/1966,115,210.1M,93
Inez,08/21/1966,09/11/1966,165,226.5M,900
Beulah,08/05/1967,08/22/1967,160,234.6M,59
Doria,08/08/1967,08/21/1967,100,150K,3
Abby,05/01/1968,05/13/1968,75,450K,6
Gladys,09/13/1968,09/21/1968,100,18.7M,8
Camille,07/14/1969,07/22/1969,175,1.42B,259
Francelia,07/29/1969,08/04/1969,100,35.6M,271
Martha,10/21/1969,10/25/1969,90,30M,5
Becky,06/19/1970,06/23/1970,65,500K,1
Celia,06/31/1970,07/05/1970,140,930M,27
Dorothy,07/17/1970,07/23/1970,70,34M,51
Felice,08/12/1970,08/17/1970,70,0,0
1970 Caribbean–Azores hurricane,08/30/1970,09/22/1970,85,65.5M,22
1970 Canada hurricane,09/12/1970,09/20/1970,105,1K,0
Beth,07/10/1971,07/16/1971,85,5.1M,1
Doria,07/20/1971,07/29/1971,65,147.6M,7
Fern,08/03/1971,08/13/1971,90,30.2M,2
Edith,08/05/1971,08/18/1971,160,25.4M,37
Ginger,08/10/1971,09/07/1971,110,10M,1
Irene–Olivia,08/11/1971,09/01/1971,115,1M,3
Laura,10/12/1971,10/22/1971,70,0,1
1972 Subtropical Storm Alpha,04/23/1972,04/29/1972,70,100K,2
Agnes,05/14/1972,06/06/1972,85,2.1B,128
Carrie,07/29/1972,08/05/1972,70,11.53M,4
Delia,08/01/1973,08/07/1973,70,6M,2
Fran,09/08/1973,09/12/1973,80,0,0
1974 Subtropical Storm One,05/22/1974,05/27/1974,65,10M,3
Alma,07/12/1974,07/15/1974,65,5M,51
Carmen,07/29/1974,08/10/1974,150,162M,8
1974 Subtropical Storm Four,09/04/1974,09/08/1974,50,600K,0
Amy,05/27/1975,06/04/1975,70,0,1
1975 Tropical Depression Six,06/28/1975,07/01/1975,35,8.8M,3
Eloise,08/13/1975,08/24/1975,125,560M,80
Belle,07/06/1976,07/15/1976,120,100M,3
Babe,08/03/1977,08/09/1977,75,13M,0
Amelia,06/30/1978,07/01/1978,50,110M,33
Cora,07/07/1978,07/12/1978,90,0,1
Debra,07/26/1978,07/29/1978,60,0,2
Ella,07/30/1978,08/05/1978,140,0,0
Greta–Olivia,08/13/1978,08/23/1978,130,26M,5
1979 Tropical Depression One,05/11/1979,05/16/1979,35,27M,41
Bob,06/09/1979,06/16/1979,75,20M,1
Claudette,06/16/1979,06/29/1979,50,400M,2
David,07/25/1979,08/08/1979,175,1.54B,2078
Frederic,07/29/1979,08/15/1979,130,1.77B,12
Elena,07/29/1979,08/02/1979,40,10M,2
Henri,08/14/1979,08/24/1979,85,0,0
Allen,06/31/1980,07/11/1980,190,2.57B,269
Danielle,08/04/1980,08/07/1980,60,25M,3
Jeanne,10/07/1980,10/16/1980,100,0,0
Karl,10/25/1980,10/29/1980,85,0,0
Arlene,04/06/1981,04/09/1981,60,0,0
Dennis,07/07/1981,07/26/1981,80,28.5M,3
1981 Tropical Depression Eight,07/26/1981,07/29/1981,35,56.2M,5
Alberto,05/01/1982,05/06/1982,85,85M,23
1982 Florida subtropical storm,05/18/1982,05/22/1982,70,10M,3
Beryl,07/28/1982,08/06/1982,70,3M,3
Chris,08/09/1982,08/13/1982,65,2M,0
Alicia,07/15/1983,07/21/1983,115,3B,21
Barry,07/23/1983,07/29/1983,80,0,0
Diana,08/08/1984,08/16/1984,130,65.5M,3
Fran,08/15/1984,08/20/1984,65,2.8M,32
Isidore,08/25/1984,09/01/1984,60,1M,1
Klaus,10/05/1984,10/16/1984,90,152M,2
Lili,11/12/1984,11/24/1984,80,0,0
Bob,06/21/1985,06/26/1985,75,20M,5
Danny,07/12/1985,07/18/1985,90,100M,2
Elena,07/28/1985,08/04/1985,125,1.3B,9
Gloria,08/16/1985,09/04/1985,145,900M,14
Juan,09/26/1985,10/03/1985,85,1.5B,12
Kate,10/15/1985,10/23/1985,120,700M,15
Bonnie,05/23/1986,05/28/1986,85,42M,4
Charley,07/15/1986,07/30/1986,80,15M,15
Danielle,08/07/1986,08/10/1986,60,10.5M,0
1987 Gulf Coast tropical storm,07/09/1987,07/17/1987,45,7.4M,1
Arlene,07/10/1987,07/23/1987,75,8K,0
Emily,08/20/1987,08/26/1987,125,80.3M,2
Floyd,09/09/1987,09/13/1987,75,500K,1
1987 Tropical Depression Fourteen,09/31/1987,10/04/1987,35,1.802M,6
Beryl,07/08/1988,07/10/1988,50,3M,1
Chris,07/21/1988,07/30/1988,50,2.2M,6
Florence,08/07/1988,08/11/1988,80,2.9M,1
Gilbert,08/08/1988,08/19/1988,185,2.98B,318
Joan–Miriam,09/10/1988,10/02/1988,145,2B,334
Keith,10/17/1988,10/26/1988,70,7.3M,0
Allison,05/24/1989,06/07/1989,50,560M,11
Chantal,06/30/1989,07/03/1989,80,100M,13
Dean,06/31/1989,07/08/1989,105,8.9M,0
Gabrielle,07/30/1989,08/13/1989,145,0,9
Hugo,08/10/1989,08/25/1989,160,11B,67
Jerry,09/12/1989,09/16/1989,85,70M,3
Bertha,06/24/1990,07/02/1990,80,3.91M,9
Diana,07/04/1990,07/09/1990,100,90.7M,139
Gustav,07/24/1990,08/03/1990,120,0,0
Klaus,09/03/1990,09/09/1990,80,1M,11
Marco,09/09/1990,09/12/1990,65,57M,12
Bob,07/16/1991,07/29/1991,115,1.5B,15
Grace,09/25/1991,09/30/1991,105,0,0
1991 Perfect Storm,09/28/1991,10/02/1991,75,200M,13
1992 Tropical Depression One,05/25/1992,05/26/1992,35,2.6M,4
Andrew,07/16/1992,07/29/1992,175,27.3B,65
Bonnie,08/17/1992,08/30/1992,110,0,1
Arlene,05/18/1993,05/21/1993,40,60.8M,26
Bret,07/04/1993,07/11/1993,60,35.7M,213
Cindy,07/14/1993,07/17/1993,45,19M,4
Emily,07/22/1993,08/06/1993,115,35M,3
Gert,08/14/1993,08/26/1993,100,170M,116
Alberto,05/30/1994,06/07/1994,65,1.03B,32
Beryl,07/14/1994,07/19/1994,60,74.22M,5
Debby,08/09/1994,08/11/1994,70,115M,9
Florence,10/02/1994,10/08/1994,110,0,0
Gordon,10/08/1994,10/21/1994,85,594M,1152
Allison,05/02/1995,05/11/1995,75,1.7M,1
Dean,06/28/1995,07/02/1995,45,500K,1
Erin,06/31/1995,07/06/1995,100,700M,6
Felix,07/08/1995,07/25/1995,140,3.63M,9
Gabrielle,07/09/1995,07/12/1995,70,0,6
Jerry,07/22/1995,07/28/1995,40,40M,6
Luis,07/28/1995,08/12/1995,150,3.3B,19
Marilyn,08/12/1995,08/30/1995,115,2.5B,13
Opal,08/27/1995,09/06/1995,150,4.7B,63
Roxanne,09/07/1995,09/21/1995,115,1.5B,29
Tanya,09/27/1995,10/03/1995,85,0,1
Arthur,05/17/1996,05/24/1996,45,1M,0
Bertha,06/05/1996,06/18/1996,115,335M,12
Cesar–Douglas,06/24/1996,07/06/1996,130,203M,113
Edouard,07/19/1996,08/07/1996,145,20M,2
Fran,07/23/1996,08/10/1996,120,5B,22
Hortense,08/03/1996,08/16/1996,140,158M,39
Josephine,09/04/1996,09/13/1996,70,130M,3
Lili,09/14/1996,09/30/1996,115,662M,22
Marco,10/16/1996,10/26/1996,75,8.2M,15
Danny,06/16/1997,06/27/1997,80,100M,4
Erika,08/03/1997,08/20/1997,125,10M,2
Bonnie,07/19/1998,07/30/1998,115,1B,5
Charley,07/21/1998,07/24/1998,70,50M,20
Danielle,07/24/1998,08/08/1998,105,50K,0
Earl,07/31/1998,08/08/1998,100,79M,3
Frances,08/08/1998,08/13/1998,65,500M,1
Georges,08/15/1998,09/01/1998,155,9.37B,604
Hermine,08/17/1998,08/20/1998,45,85K,2
Bret,07/18/1999,07/25/1999,145,15M,1
Dennis,07/24/1999,08/09/1999,105,157M,4
Floyd,08/07/1999,08/19/1999,155,6.5B,85
Gert,08/11/1999,08/23/1999,150,1.9M,2
Harvey,08/19/1999,08/22/1999,60,22.6M,0
Irene,09/13/1999,09/24/1999,110,800M,3
Jose,09/17/1999,09/25/1999,100,5M,3
Katrina,09/28/1999,10/01/1999,40,9K,0
Lenny,10/13/1999,10/23/1999,155,785.8M,17
Alberto,07/03/2000,07/25/2000,125,0,0
Beryl,07/13/2000,07/15/2000,50,27K,1
Debby,07/19/2000,07/24/2000,85,735K,1
Florence,08/10/2000,08/19/2000,80,0,3
Gordon,08/14/2000,08/21/2000,80,10.8M,24
Helene,08/15/2000,08/25/2000,70,16M,1
Isaac,08/21/2000,09/04/2000,140,0,1
Keith,08/28/2000,09/06/2000,140,319M,62
Leslie,09/04/2000,09/12/2000,45,950M,3
Allison,05/05/2001,05/20/2001,60,9B,41
Barry,07/02/2001,07/08/2001,70,30M,2
Chantal,07/14/2001,07/22/2001,70,4M,2
Dean,07/22/2001,07/28/2001,70,7.7M,0
Erin,08/01/2001,08/17/2001,120,0,0
Gabrielle,08/11/2001,08/19/2001,80,230M,2
Iris,09/04/2001,09/09/2001,145,250M,36
Karen,09/12/2001,09/15/2001,80,1.4M,0
Michelle,09/29/2001,10/06/2001,140,2.43B,48
Arthur,06/14/2002,06/19/2002,60,0,1
Bertha,07/04/2002,07/09/2002,40,200K,1
Cristobal,07/05/2002,07/13/2002,50,0,3
Fay,08/05/2002,08/11/2002,60,4.5M,0
Gustav,08/08/2002,08/15/2002,100,340K,4
Hanna,08/12/2002,08/15/2002,60,20M,3
Isidore,08/14/2002,08/27/2002,125,1.28B,19
Kyle,08/20/2002,09/14/2002,85,5M,1
Lili,08/21/2002,09/04/2002,145,1.16B,13
Ana,03/20/2003,03/27/2003,60,0,2
Bill,05/29/2003,06/03/2003,60,50.5M,4
Claudette,06/08/2003,06/17/2003,90,181M,1
Erika,07/14/2003,07/20/2003,75,100K,2
Fabian,07/27/2003,08/10/2003,145,300M,8
Grace,07/30/2003,08/02/2003,40,113K,0
Henri,08/03/2003,08/08/2003,60,19.6M,0
Isabel,08/06/2003,08/20/2003,165,3.6B,16
Juan,08/24/2003,08/29/2003,105,200M,4
Kate,08/25/2003,09/10/2003,125,0,0
Larry,09/01/2003,09/06/2003,65,53.6M,5
Nicholas,09/13/2003,10/05/2003,70,0,0
Odette,11/04/2003,11/09/2003,65,8M,8
Alex,06/31/2004,07/06/2004,120,7.5M,1
Bonnie,07/03/2004,07/14/2004,65,1.27M,3
Charley,07/09/2004,07/15/2004,150,16.9B,15
Earl,07/13/2004,07/15/2004,50,0,1
Frances,07/24/2004,08/10/2004,145,10.1B,7
Gaston,07/27/2004,08/03/2004,75,130M,8
Ivan,08/02/2004,08/25/2004,165,26.1B,92
Jeanne,08/13/2004,08/29/2004,120,7.94B,3037
Karl,08/16/2004,08/28/2004,145,0,0
Matthew,09/08/2004,09/11/2004,45,305K,0
Arlene,05/08/2005,05/14/2005,70,11.8M,2
Bret,05/28/2005,05/30/2005,40,9.3M,2
Cindy,06/03/2005,06/12/2005,75,71.5M,0
Dennis,06/04/2005,06/18/2005,150,3.98B,76
Emily,06/11/2005,06/21/2005,160,1.01B,22
Gert,06/23/2005,06/25/2005,45,6M,1
Irene,07/04/2005,07/18/2005,105,0,1
Jose,07/22/2005,07/23/2005,60,45M,16
Katrina,07/23/2005,07/31/2005,175,125B,1836
Maria,08/01/2005,08/14/2005,115,3.1M,1
Nate,08/05/2005,08/13/2005,90,0,2
Ophelia,08/06/2005,08/23/2005,85,70M,1
Rita,08/18/2005,08/26/2005,180,18.5B,120
Stan,09/01/2005,09/05/2005,80,3.96B,1668
Tammy,09/05/2005,09/06/2005,50,30M,10
Vince,09/08/2005,09/11/2005,75,0,0
Wilma,09/15/2005,09/27/2005,185,22.4B,52
Beta,09/26/2005,09/31/2005,115,15.5M,9
Gamma,10/14/2005,10/22/2005,50,18M,39
Delta,10/22/2005,10/30/2005,70,364M,7
Epsilon,10/29/2005,11/10/2005,85,0,0
Zeta,11/30/2005,00/07/2006,65,0,0
Alberto,05/10/2006,05/14/2006,70,420K,3
Beryl,06/18/2006,06/21/2006,60,0,0
Chris,07/01/2006,07/04/2006,65,0,0
Debby,07/21/2006,07/26/2006,50,0,0
Ernesto,07/24/2006,08/01/2006,75,500M,7
Florence,08/03/2006,08/19/2006,90,200K,0
Gordon,08/10/2006,08/24/2006,120,3.8M,0
Helene,08/12/2006,08/24/2006,120,0,0
Isaac,08/27/2006,09/02/2006,85,0,0
2007 Subtropical Storm Andrea,04/09/2007,04/14/2007,60,0,6
Barry,05/01/2007,05/05/2007,60,118K,1
Chantal,06/31/2007,07/05/2007,50,24.3M,0
Dean,07/13/2007,07/27/2007,175,1.66B,40
Erin,07/15/2007,07/20/2007,40,248.3M,21
Felix,07/31/2007,08/07/2007,175,720M,130
Gabrielle,08/08/2007,08/11/2007,60,5K,1
Humberto,08/12/2007,08/14/2007,90,50M,1
2007 Tropical Depression Ten,08/21/2007,08/22/2007,35,6.2M,0
Lorenzo,08/25/2007,08/28/2007,80,92M,6
Noel,09/28/2007,10/07/2007,80,580M,222
Olga,11/11/2007,11/17/2007,60,45M,40
Arthur,04/31/2008,05/06/2008,45,78M,5
Bertha,06/03/2008,06/21/2008,125,0,3
Cristobal,06/19/2008,06/23/2008,65,10K,0
Dolly,06/20/2008,06/27/2008,100,1.6B,1
Edouard,07/03/2008,07/06/2008,65,550K,6
Fay,07/15/2008,07/29/2008,70,560M,13
Gustav,07/25/2008,08/07/2008,155,8.31B,112
Hanna,07/28/2008,08/12/2008,85,160M,537
Ike,08/01/2008,08/15/2008,145,38B,214
Kyle,08/25/2008,08/30/2008,85,57.1M,8
Laura,08/29/2008,09/04/2008,60,0,0
Marco,09/06/2008,09/07/2008,65,0,0
Omar,09/13/2008,09/21/2008,130,80M,1
Paloma,10/05/2008,10/14/2008,145,454.5M,1
Ana,07/11/2009,07/16/2009,40,0,0
Bill,07/15/2009,07/26/2009,130,46.2M,2
Claudette,07/16/2009,07/18/2009,60,350K,2
Danny,07/26/2009,07/29/2009,60,0,1
Erika,08/01/2009,08/04/2009,50,35K,0
Fred,08/07/2009,08/19/2009,120,0,0
Grace,09/04/2009,09/07/2009,65,0,0
Ida,10/04/2009,10/11/2009,105,11.4M,4
Alex,05/25/2010,06/06/2010,110,1.52B,33
2010 Tropical Depression Two,06/08/2010,06/10/2010,35,0,0
Bonnie,06/22/2010,06/25/2010,45,1.36M,1
Colin,07/02/2010,07/09/2010,60,0,1
2010 Tropical Depression Five,07/10/2010,07/18/2010,35,1M,2
Earl,07/25/2010,08/05/2010,145,45M,8
Hermine,08/03/2010,08/10/2010,70,740M,52
Igor,08/08/2010,08/23/2010,155,200.5M,4
Julia,08/12/2010,08/28/2010,140,0,0
Karl,08/14/2010,08/18/2010,125,3.9B,22
Matthew,08/23/2010,08/28/2010,60,171.2M,126
Nicole,08/28/2010,08/30/2010,45,245.4M,20
Otto,09/06/2010,09/18/2010,85,22.5M,0
Richard,09/20/2010,09/27/2010,100,80M,1
Shary,09/28/2010,09/31/2010,75,0,0
Tomas,09/29/2010,10/11/2010,100,463.4M,44
Arlene,05/28/2011,06/01/2011,65,223.4M,18
Bret,06/17/2011,06/23/2011,70,0,0
Emily,07/02/2011,07/11/2011,50,5M,4
Harvey,07/19/2011,07/22/2011,65,0,5
Irene,07/21/2011,07/30/2011,120,14.2B,49
Katia,07/29/2011,08/13/2011,140,157M,3
Lee,08/02/2011,08/07/2011,60,2.8B,18
Maria,08/06/2011,08/18/2011,80,1.3M,0
Nate,08/07/2011,08/12/2011,75,0,4
Ophelia,08/20/2011,09/07/2011,140,0,0
Rina,09/23/2011,09/29/2011,115,2.3M,0
Beryl,04/26/2012,05/02/2012,70,148K,1
Debby,05/23/2012,05/30/2012,65,250M,7
Ernesto,07/01/2012,07/10/2012,100,252.2M,7
Helene,07/09/2012,07/18/2012,45,17M,2
Isaac,07/21/2012,08/03/2012,80,3.11B,34
Leslie,07/30/2012,08/12/2012,80,10.1M,0
Nadine,08/10/2012,09/04/2012,90,0,0
Rafael,09/12/2012,09/26/2012,90,2M,1
Sandy,09/22/2012,10/02/2012,115,68.7B,233
Andrea,05/05/2013,05/10/2013,65,86K,1
Barry,05/17/2013,05/20/2013,45,0,5
Chantal,06/07/2013,06/10/2013,65,10M,1
Ingrid,08/12/2013,08/17/2013,85,1.5B,32
Karen,09/03/2013,09/15/2013,65,18K,0
Arthur,06/01/2014,06/09/2014,100,39.5M,2
Bertha,07/01/2014,07/16/2014,80,0,3
Dolly,08/01/2014,08/04/2014,50,22.2M,1
Fay,09/10/2014,09/13/2014,80,3.8M,0
Gonzalo,09/12/2014,09/20/2014,145,317M,3
Ana,04/08/2015,04/12/2015,60,0,1
Bill,05/16/2015,05/23/2015,60,100M,8
Danny,07/18/2015,07/24/2015,125,0,0
Erika,07/24/2015,08/03/2015,50,511.4M,31
Fred,07/30/2015,08/06/2015,85,2.5M,9
Joaquin,08/28/2015,09/15/2015,155,200M,34
Kate,10/08/2015,10/13/2015,85,0,0
Alex,00/12/2016,00/17/2016,85,0,1
Bonnie,04/27/2016,05/09/2016,45,640K,2
Colin,05/05/2016,05/08/2016,50,1.04M,6
Hermine,07/28/2016,08/08/2016,80,550M,4
Julia,08/13/2016,08/21/2016,50,6.13M,0
Matthew,08/28/2016,09/10/2016,165,16.47B,603
Nicole,09/04/2016,09/20/2016,140,15M,1
Otto,10/20/2016,10/26/2016,115,192.2M,23
Bret,05/19/2017,05/20/2017,50,3M,1
Cindy,05/20/2017,05/24/2017,60,25M,2
Emily,06/30/2017,07/02/2017,60,10M,0
Franklin,07/07/2017,07/10/2017,85,15M,0
Gert,07/12/2017,07/18/2017,110,0,2
Harvey,07/17/2017,08/02/2017,130,125B,107
Irma,07/30/2017,08/13/2017,180,77.16B,52
Jose,08/05/2017,08/25/2017,155,2.84M,1
Katia,08/05/2017,08/09/2017,105,3.26M,3
Maria,08/16/2017,09/02/2017,175,91.61B,3059
Nate,09/04/2017,09/11/2017,90,787M,48
Ophelia,09/09/2017,09/18/2017,115,87.7M,3
Philippe,09/28/2017,09/29/2017,40,100M,5
